model,learning_rate,hidden_size,batch_size,pooling_style,acc,time(预测100条耗时)
fast_text,0.001,128,64,avg,0.8732065398732065,0.0069959163665771484秒
fast_text,0.001,128,64,max,0.8561895228561895,0.0059967041015625秒
fast_text,0.001,128,128,avg,0.8478478478478478,0.003992557525634766秒
fast_text,0.001,128,128,max,0.8388388388388388,0.00799560546875秒
fast_text,0.001,256,64,avg,0.8748748748748749,0.009994745254516602秒
fast_text,0.001,256,64,max,0.8615281948615282,0.017989397048950195秒
fast_text,0.001,256,128,avg,0.8692025358692025,0.017989397048950195秒
fast_text,0.001,256,128,max,0.8468468468468469,0.011991500854492188秒
fast_text,1e-05,128,64,avg,0.660326993660327,0.003997087478637695秒
fast_text,1e-05,128,64,max,0.6826826826826827,0.0059969425201416016秒
fast_text,1e-05,128,128,avg,0.5799132465799133,0.004996299743652344秒
fast_text,1e-05,128,128,max,0.6766766766766766,0.003996610641479492秒
fast_text,1e-05,256,64,avg,0.6816816816816816,0.008994102478027344秒
fast_text,1e-05,256,64,max,0.6740073406740074,0.010992765426635742秒
fast_text,1e-05,256,128,avg,0.6983650316983651,0.008991241455078125秒
fast_text,1e-05,256,128,max,0.666332999666333,0.018988847732543945秒
lstm,0.001,128,64,avg,0.8725392058725392,0.13392400741577148秒
lstm,0.001,128,64,max,0.8658658658658659,0.37178802490234375秒
lstm,0.001,128,128,avg,0.8498498498498499,0.19388937950134277秒
lstm,0.001,128,128,max,0.8598598598598599,0.16190719604492188秒
lstm,0.001,256,64,avg,0.8675342008675342,0.3148183822631836秒
lstm,0.001,256,64,max,0.8621955288621955,0.9884345531463623秒
lstm,0.001,256,128,avg,0.8755422088755422,0.42375802993774414秒
lstm,0.001,256,128,max,0.8611945278611945,0.33380866050720215秒
lstm,1e-05,128,64,avg,0.6740073406740074,0.17290019989013672秒
lstm,1e-05,128,64,max,0.6740073406740074,0.24286174774169922秒
lstm,1e-05,128,128,avg,0.6740073406740074,0.33580756187438965秒
lstm,1e-05,128,128,max,0.6740073406740074,0.31981563568115234秒
lstm,1e-05,256,64,avg,0.672339005672339,0.634636640548706秒
lstm,1e-05,256,64,max,0.6740073406740074,0.43375229835510254秒
lstm,1e-05,256,128,avg,0.6740073406740074,0.8065359592437744秒
lstm,1e-05,256,128,max,0.6740073406740074,0.7135918140411377秒
gru,0.001,128,64,avg,0.8695362028695363,0.11293482780456543秒
gru,0.001,128,64,max,0.8795462128795463,0.13892102241516113秒
gru,0.001,128,128,avg,0.8695362028695363,0.11493587493896484秒
gru,0.001,128,128,max,0.8755422088755422,0.22387123107910156秒
gru,0.001,256,64,avg,0.8581915248581915,0.438748836517334秒
gru,0.001,256,64,max,0.8715382048715382,0.2448585033416748秒
gru,0.001,256,128,avg,0.8702035368702036,0.30782461166381836秒
gru,0.001,256,128,max,0.8748748748748749,0.4227592945098877秒
gru,1e-05,128,64,avg,0.674341007674341,0.22986912727355957秒
gru,1e-05,128,64,max,0.6740073406740074,0.17190337181091309秒
gru,1e-05,128,128,avg,0.6740073406740074,0.15990948677062988秒
gru,1e-05,128,128,max,0.6740073406740074,0.13092303276062012秒
gru,1e-05,256,64,avg,0.6740073406740074,0.33580565452575684秒
gru,1e-05,256,64,max,0.6740073406740074,0.2728438377380371秒
gru,1e-05,256,128,avg,0.6740073406740074,0.6326377391815186秒
gru,1e-05,256,128,max,0.6740073406740074,0.2488563060760498秒
rnn,0.001,128,64,avg,0.8611945278611945,0.038979530334472656秒
rnn,0.001,128,64,max,0.8705372038705372,0.03497958183288574秒
rnn,0.001,128,128,avg,0.8568568568568569,0.03797650337219238秒
rnn,0.001,128,128,max,0.8712045378712046,0.03698086738586426秒
rnn,0.001,256,64,avg,0.8665331998665332,0.21087861061096191秒
rnn,0.001,256,64,max,0.8788788788788788,0.10693669319152832秒
rnn,0.001,256,128,avg,0.8611945278611945,0.0699625015258789秒
rnn,0.001,256,128,max,0.8692025358692025,0.07595610618591309秒
rnn,1e-05,128,64,avg,0.6740073406740074,0.03695487976074219秒
rnn,1e-05,128,64,max,0.674341007674341,0.05496859550476074秒
rnn,1e-05,128,128,avg,0.6740073406740074,0.058965444564819336秒
rnn,1e-05,128,128,max,0.6740073406740074,0.03897595405578613秒
rnn,1e-05,256,64,avg,0.6780113446780114,0.0839529037475586秒
rnn,1e-05,256,64,max,0.7237237237237237,0.2408607006072998秒
rnn,1e-05,256,128,avg,0.6746746746746747,0.14191818237304688秒
rnn,1e-05,256,128,max,0.680347013680347,0.18189477920532227秒
cnn,0.001,128,64,avg,0.8708708708708709,0.0179901123046875秒
cnn,0.001,128,64,max,0.8875542208875542,0.01798844337463379秒
cnn,0.001,128,128,avg,0.8682015348682015,0.0239865779876709秒
cnn,0.001,128,128,max,0.8872205538872205,0.029981136322021484秒
cnn,0.001,256,64,avg,0.8732065398732065,0.05796527862548828秒
cnn,0.001,256,64,max,0.8698698698698699,0.04797172546386719秒
cnn,0.001,256,128,avg,0.8702035368702036,0.07195854187011719秒
cnn,0.001,256,128,max,0.8885552218885552,0.04897165298461914秒
cnn,1e-05,128,64,avg,0.7197197197197197,0.018990278244018555秒
cnn,1e-05,128,64,max,0.7781114447781114,0.021986722946166992秒
cnn,1e-05,128,128,avg,0.7173840507173841,0.042975664138793945秒
cnn,1e-05,128,128,max,0.7290623957290624,0.0159912109375秒
cnn,1e-05,256,64,avg,0.7837837837837838,0.060965538024902344秒
cnn,1e-05,256,64,max,0.8335001668335001,0.05896353721618652秒
cnn,1e-05,256,128,avg,0.7360694027360694,0.06296467781066895秒
cnn,1e-05,256,128,max,0.7987987987987988,0.09094691276550293秒
gated_cnn,0.001,128,64,avg,0.8835502168835502,0.03597879409790039秒
gated_cnn,0.001,128,64,max,0.8808808808808809,0.04197835922241211秒
gated_cnn,0.001,128,128,avg,0.8855522188855522,0.07295799255371094秒
gated_cnn,0.001,128,128,max,0.8858858858858859,0.03098320960998535秒
gated_cnn,0.001,256,64,avg,0.8828828828828829,0.3987712860107422秒
gated_cnn,0.001,256,64,max,0.8712045378712046,0.10193848609924316秒
gated_cnn,0.001,256,128,avg,0.8802135468802136,0.16190767288208008秒
gated_cnn,0.001,256,128,max,0.8822155488822155,0.17989706993103027秒
gated_cnn,1e-05,128,64,avg,0.6756756756756757,0.040976524353027344秒
gated_cnn,1e-05,128,64,max,0.7764431097764432,0.043973684310913086秒
gated_cnn,1e-05,128,128,avg,0.6946946946946947,0.0379791259765625秒
gated_cnn,1e-05,128,128,max,0.7083750417083751,0.03298020362854004秒
gated_cnn,1e-05,256,64,avg,0.7630964297630964,0.15990686416625977秒
gated_cnn,1e-05,256,64,max,0.8314981648314982,0.12992596626281738秒
gated_cnn,1e-05,256,128,avg,0.7027027027027027,0.19588637351989746秒
gated_cnn,1e-05,256,128,max,0.8084751418084751,0.10393977165222168秒
stack_gated_cnn,0.001,128,64,avg,0.8605271938605272,0.15990805625915527秒
stack_gated_cnn,0.001,128,64,max,0.8818818818818819,0.12892556190490723秒
stack_gated_cnn,0.001,128,128,avg,0.8775442108775442,0.19489049911499023秒
stack_gated_cnn,0.001,128,128,max,0.8808808808808809,0.10493993759155273秒
stack_gated_cnn,0.001,256,64,avg,0.8772105438772105,0.5187017917633057秒
stack_gated_cnn,0.001,256,64,max,0.8875542208875542,0.47872233390808105秒
stack_gated_cnn,0.001,256,128,avg,0.8818818818818819,0.2968282699584961秒
stack_gated_cnn,0.001,256,128,max,0.8815482148815482,0.2508563995361328秒
stack_gated_cnn,1e-05,128,64,avg,0.7390724057390724,0.12392902374267578秒
stack_gated_cnn,1e-05,128,64,max,0.7961294627961295,0.10393476486206055秒
stack_gated_cnn,1e-05,128,128,avg,0.6866866866866866,0.19088959693908691秒
stack_gated_cnn,1e-05,128,128,max,0.7907907907907908,0.216874361038208秒
stack_gated_cnn,1e-05,256,64,avg,0.8131464798131465,0.7945456504821777秒
stack_gated_cnn,1e-05,256,64,max,0.8468468468468469,0.4477427005767822秒
stack_gated_cnn,1e-05,256,128,avg,0.7534200867534201,0.6416313648223877秒
stack_gated_cnn,1e-05,256,128,max,0.8278278278278278,0.34979939460754395秒
rcnn,0.001,128,64,avg,0.8795462128795463,0.09794402122497559秒
rcnn,0.001,128,64,max,0.8835502168835502,0.08295464515686035秒
rcnn,0.001,128,128,avg,0.8708708708708709,0.0779569149017334秒
rcnn,0.001,128,128,max,0.8855522188855522,0.07695651054382324秒
rcnn,0.001,256,64,avg,0.8815482148815482,0.18389892578125秒
rcnn,0.001,256,64,max,0.8802135468802136,0.2948298454284668秒
rcnn,0.001,256,128,avg,0.8802135468802136,0.13991928100585938秒
rcnn,0.001,256,128,max,0.8812145478812146,0.15691065788269043秒
rcnn,1e-05,128,64,avg,0.6740073406740074,0.04297757148742676秒
rcnn,1e-05,128,64,max,0.686353019686353,0.05696511268615723秒
rcnn,1e-05,128,128,avg,0.6740073406740074,0.06196451187133789秒
rcnn,1e-05,128,128,max,0.6740073406740074,0.060964107513427734秒
rcnn,1e-05,256,64,avg,0.7420754087420754,0.2588512897491455秒
rcnn,1e-05,256,64,max,0.8111444778111445,0.13891816139221191秒
rcnn,1e-05,256,128,avg,0.6740073406740074,0.14891433715820312秒
rcnn,1e-05,256,128,max,0.7407407407407407,0.19288897514343262秒
